标题,播放,评论,回馈率（‰）,分词后标题
“如果你不喜欢中国的和平方案 你的方案在哪呢？”,95000.0,26.0,0.2736842105263158,“ 如果 你 不 喜欢 中国 的 和平 方案   你 的 方案 在 哪 呢 ？ ”
普京敢来就逮捕他？德部长响应国际刑事法院决议，朔尔茨又被挖坑,22000.0,70.0,3.181818181818182,普京 敢 来 就 逮捕 他 ？ 德 部长 响应 国际 刑事 法院 决议 ， 朔 尔茨 又 被 挖坑
人民币狂飙！美联储暗示加息进入尾声，人民币盘中大涨600点,11000.0,5.0,0.4545454545454545,人民币 狂飙 ！ 美联储 暗示 加息 进入 尾声 ， 人民币 盘中 大涨 600 点
张维为接受俄媒专访：中俄关系为这个不确定的世界注入了确定性！,53000.0,23.0,0.4339622641509434,张维为 接受 俄媒 专访 ： 中俄关系 为 这个 不 确定 的 世界 注入 了 确定性 ！
令人发指！乌军拍视频炫耀：用绞索拉倒女英雄卓娅雕像，摔成两段,2874000.0,9668.0,3.3639526791927628,令人发指 ！ 乌军 拍 视频 炫耀 ： 用 绞索 拉倒 女英雄 卓娅 雕像 ， 摔成 两段
解放军主战坦克96A碾压路障！,106000.0,283.0,2.6698113207547167,解放军 主战 坦克 96A 碾压 路障 ！
《声生不息·宝岛季》动力火车《娜鲁湾情歌》用歌声传递质朴情谊,767.0,2.0,2.607561929595828,《 声生 不息 · 宝岛 季 》 动力火车 《 娜鲁湾 情歌 》 用 歌声 传递 质朴 情谊
中亚再现乌克兰悲剧？托卡耶夫玩转中美俄三角恋，哈国未来在中国,2057.0,9.0,4.375303840544483,中亚 再现 乌克兰 悲剧 ？ 托 卡耶夫 玩转 中美 俄 三角恋 ， 哈国 未来 在 中国
陈母问：我儿战场勇否？答曰：勇冠三军！,1123000.0,3388.0,3.016918967052538,陈母 问 ： 我儿 战场 勇否 ？ 答 曰 ： 勇冠三军 ！
比尔盖茨：美国对中国抱有一种“双输心态”,110000.0,65.0,0.5909090909090909,比尔盖茨 ： 美国 对 中国 抱 有 一种 “ 双输 心态 ”
初三学生被罚站倒地去世 一条能救命的急救方法合集请收藏！,44000.0,29.0,0.6590909090909091,初三 学生 被 罚站 倒地 去世   一条 能 救命 的 急救 方法 合集 请 收藏 ！
普京脸上的笑容，对布林肯是种刺激，去北京的飞机，想上也没座了,116000.0,430.0,3.706896551724138,普京 脸上 的 笑容 ， 对布 林肯 是 种 刺激 ， 去 北京 的 飞机 ， 想 上 也 没座 了
挂弹拦截！美军机带CNN记者窜扰南海被解放军战机驱离,34000.0,7.0,0.2058823529411765,挂弹 拦截 ！ 美军 机带 CNN 记者 窜扰 南海 被 解放军 战机 驱离
联合国大骂四小时：硬核古巴，刚中带“甜”？,1040000.0,3135.0,3.0144230769230766,联合国 大骂 四 小时 ： 硬核 古巴 ， 刚中带 “ 甜 ” ？
“约翰牛”给“司机”送礼，泼出去的“挑战者”让英国陆军直喊高血压犯了，败家！,13000.0,31.0,2.3846153846153846,“ 约翰 牛 ” 给 “ 司机 ” 送礼 ， 泼出去 的 “ 挑战者 ” 让 英国 陆军 直喊 高血压 犯 了 ， 败家 ！
法国大罢工继续！超30万人走上街头，警察冲进示威人群拿警棍暴打,114000.0,80.0,0.7017543859649122,法国 大 罢工 继续 ！ 超 30 万人 走上 街头 ， 警察 冲 进 示威 人群 拿 警棍 暴打
广西大叔一招把酸果变香甜 一年赚百万,38000.0,12.0,0.3157894736842105,广西 大叔 一招 把 酸果 变 香甜   一年 赚 百万
“劝降解放军”？台军异想天开！,130000.0,220.0,1.6923076923076923,“ 劝降 解放军 ” ？ 台军 异想天开 ！
十四届全国人大一次会议议程公布 共有9项议程,161000.0,31.0,0.1925465838509316,十四届 全国人大 一次 会议议程 公布   共有 9 项 议程
卢旺达阅兵使用中文口令 味道相当纯正！,56000.0,22.0,0.3928571428571428,卢旺达 阅兵 使用 中文 口令   味道 相当 纯正 ！
唐湘龙：斡旋沙伊复交是中国外交的胜利，避免美国在中东策划战争,77000.0,44.0,0.5714285714285715,唐湘龙 ： 斡旋 沙伊 复交 是 中国 外交 的 胜利 ， 避免 美国 在 中东 策划 战争
男孩通宵赶完的作业被狗子全部撕碎 崩溃大哭,105000.0,73.0,0.6952380952380952,男孩 通宵 赶完 的 作业 被 狗子 全部 撕碎   崩溃 大哭
川籍华人飞3000公里看丫丫哭了： 希望它好好吃东西，坚持到回国。,241000.0,22.0,0.0912863070539419,川籍 华人 飞 3000 公里 看 丫丫 哭 了 ：   希望 它 好 好吃 东西 ， 坚持 到 回国 。
非凡这十年,136000.0,2.0,0.0147058823529411,非凡 这 十年
商务部：坚决反对！出售或者剥离TikTok，必须遵照中国法律法规，中国政府将依法作出决定,120000.0,51.0,0.425,商务部 ： 坚决 反对 ！ 出售 或者 剥离 TikTok ， 必须 遵照 中国 法律法规 ， 中国政府 将 依法 作出 决定
台湾出逃狒狒半月仍未抓获 到处趴趴走！,6702.0,5.0,0.7460459564309161,台湾 出逃 狒狒 半月 仍 未 抓获   到处 趴 趴 走 ！
送命题：美在叙基地遭袭 发言人被问到彻底懵圈,302000.0,1335.0,4.420529801324504,送 命题 ： 美在 叙 基地 遭袭   发言人 被 问到 彻底 懵圈
梅德韦杰夫称拜登总统为疯癫老头,11000.0,18.0,1.6363636363636362,梅德韦 杰夫 称 拜登 总统 为 疯癫 老头
被夺笋的花花：婉拒了哈~,435000.0,64.0,0.1471264367816092,被 夺笋 的 花花 ： 婉拒 了 哈 ~
TikTok CEO回应美议员疑惑为啥TikTok有毒品内容而抖音没有,570000.0,642.0,1.1263157894736842,TikTok   CEO 回应 美 议员 疑惑 为啥 TikTok 有 毒品 内容 而 抖音 没有
科技部：让科研人员从非科研事务中解脱出来,29000.0,1.0,0.0344827586206896,科技部 ： 让 科研人员 从 非 科研 事务 中 解脱 出来
要台军上战场，却不给鸡蛋吃，士兵的肚子还是“垃圾处理场”,36000.0,14.0,0.3888888888888888,要 台军 上 战场 ， 却 不 给 鸡蛋 吃 ， 士兵 的 肚子 还是 “ 垃圾处理 场 ”
旅行者荧点上一首《走马》，优菈：“不复刻的这个仇，我记下了”,136000.0,70.0,0.5147058823529412,旅行者 荧点 上 一首 《 走马 》 ， 优 菈 ： “ 不 复刻 的 这个 仇 ， 我 记下 了 ”
新疆烤肉小哥的这番话太赞了！我们都是祖国大家庭的一员，我们就是一家人！,158000.0,128.0,0.8101265822784811,新疆 烤肉 小哥 的 这番话 太赞 了 ！ 我们 都 是 祖国 大家庭 的 一员 ， 我们 就是 一家人 ！
燃！新疆牧民策马高举五星红旗为赛车手加油,280000.0,305.0,1.0892857142857142,燃 ！ 新疆 牧民 策马 高举 五星红旗 为 赛车手 加油
走说中国 | “不夜城”长沙迎来经济强势复苏,25000.0,86.0,3.44,走 说 中国   |   “ 不夜城 ” 长沙 迎来 经济 强势 复苏
台湾教授喊话蔡英文“不接受一个中国 大陆跟你有什么可谈”,636000.0,74.0,0.1163522012578616,台湾 教授 喊话 蔡 英文 “ 不 接受 一个 中国   大陆 跟 你 有 什么 可谈 ”
【追光者】长征路上年龄最小的红军战士，致敬英雄 ！,1267.0,3.0,2.367797947908445,【 追光 者 】 长征 路上 年龄 最小 的 红军 战士 ， 致敬 英雄   ！
大学生寝室拍摄玩火视频被消防找到，被问是否认识到错误，他竟说……,345000.0,57.0,0.1652173913043478,大学生 寝室 拍摄 玩火 视频 被 消防 找到 ， 被 问 是否 认识 到 错误 ， 他 竟 说 … …
“只要飞机不是马上爆炸，就是摔我也得摔到跑道上！”,37000.0,107.0,2.891891891891892,“ 只要 飞机 不是 马上 爆炸 ， 就是 摔 我 也 得 摔 到 跑道 上 ！ ”
抗议法国退休制度改革|巴黎民众高喊“马克龙，下台！”,17000.0,9.0,0.5294117647058824,抗议 法国 退休 制度 改革 | 巴黎 民众 高喊 “ 马克 龙 ， 下台 ！ ”
红了60年的中国男孩是如何成为全民偶像的？,34000.0,65.0,1.911764705882353,红 了 60 年 的 中国 男孩 是 如何 成为 全民 偶像 的 ？
别人家的老师！为给学生鼓励，老师在试卷上订糖果,12000.0,1.0,0.0833333333333333,别人 家 的 老师 ！ 为 给 学生 鼓励 ， 老师 在 试卷 上订 糖果
曾被水手误认为是美人鱼的儒艮，被宣布在中国功能性灭绝,596000.0,407.0,0.6828859060402684,曾 被 水手 误认为 是 美人鱼 的 儒艮 ， 被 宣布 在 中国 功能性 灭绝
被扔井中小男孩获救画面曝光！众人一拥而上施救,119000.0,37.0,0.3109243697478991,被 扔 井 中 小男孩 获救 画面 曝光 ！ 众人 一拥而上 施救
【卢克文工作室】日韩“世纪大和解”始末，尹锡悦投降外交是无奈之举？,1022000.0,3728.0,3.6477495107632096,【 卢克文 工作室 】 日 韩 “ 世纪 大 和解 ” 始末 ， 尹锡悦 投降 外交 是 无奈 之 举 ？
大陆提协商条件后，台当局公开拒统，扬言效仿乌克兰，国台办回应,60000.0,52.0,0.8666666666666666,大陆 提 协商 条件 后 ， 台当局 公开 拒统 ， 扬言 效仿 乌克兰 ， 国台办 回应
美方围剿TikTok会否遭到反噬？专家深入分析,4309.0,2.0,0.4641448131817127,美方 围剿 TikTok 会否 遭到 反噬 ？ 专家 深入分析
国际刑事法院对普京发出逮捕令 外交部回应,181000.0,21.0,0.1160220994475138,国际 刑事 法院 对 普京 发出 逮捕令   外交部 回应
女子亲人去世，请假遭遇老板各种怼：你家亲戚和你有什么关系？,911000.0,1604.0,1.760702524698134,女子 亲人 去世 ， 请假 遭遇 老板 各种 怼 ： 你家 亲戚 和 你 有 什么 关系 ？
英首相与流浪汉畅聊金融业前景遭怼：我很饿，不想睡大街过圣诞,275000.0,196.0,0.7127272727272728,英首相 与 流浪汉 畅聊 金融业 前景 遭怼 ： 我 很 饿 ， 不想 睡 大街 过 圣诞
“癌症我都不怕，还怕你个毒贩不成！”,225000.0,419.0,1.8622222222222224,“ 癌症 我 都 不怕 ， 还 怕 你 个 毒贩 不成 ！ ”
涨姿势！老师被指侵占学生雕塑  称“动一刀也是新作”,26000.0,31.0,1.1923076923076923,涨 姿势 ！ 老师 被 指 侵占 学生 雕塑     称 “ 动 一刀 也 是 新作 ”
国会老爷一句话，把TikTok CEO整不会了,335000.0,121.0,0.3611940298507463,国会 老爷 一句 话 ， 把 TikTok   CEO 整 不会 了
揭秘瓦格纳集团,33000.0,166.0,5.03030303030303,揭秘 瓦格纳 集团
台媒称解放军军舰过恒春外海 回怼台舰:台湾是中国不可分割一部分,14000.0,11.0,0.7857142857142857,台媒称 解放军 军舰 过 恒春 外海   回怼 台舰 : 台湾 是 中国 不可分割 一部分
《声生不息·宝岛季》陈立农《暧昧》少年心事随歌声涌动，暧昧心事充斥心房,5266.0,2.0,0.379794910748196,《 声生 不息 · 宝岛 季 》 陈立农 《 暧昧 》 少年 心事 随 歌声 涌动 ， 暧昧 心事 充斥 心房
美威逼下，三大国际机构对俄出手，但俄方要的公正，中国给了,1144.0,2.0,1.7482517482517483,美 威逼 下 ， 三大 国际 机构 对 俄 出手 ， 但 俄方 要 的 公正 ， 中国 给 了
【请人民评议】社会各界高度评价公安机关执法规范化建设,17000.0,28.0,1.647058823529412,【 请 人民 评议 】 社会各界 高度评价 公安机关 执法 规范化 建设
台海上演紧张对峙，岛内军事学者：解放军在增兵巴士海峡,8784.0,6.0,0.6830601092896175,台海 上演 紧张 对峙 ， 岛内 军事 学者 ： 解放军 在 增兵 巴士海峡
克里米纳打得不可开交，俄乌空降兵大对决，是真的要空降作战么？,1931.0,1.0,0.5178663904712584,克里 米纳 打 得 不可开交 ， 俄乌 空降兵 大 对决 ， 是 真的 要 空降 作战 么 ？
一名中国女博士在加拿大火灾中失踪,93000.0,52.0,0.5591397849462365,一名 中国 女博士 在 加拿大 火灾 中 失踪
秦刚寄望青年提升中国国际话语权：台上“麦霸”太多，杂音噪音不少,184000.0,222.0,1.2065217391304348,秦刚 寄望 青年 提升 中国 国际 话语权 ： 台上 “ 麦霸 ” 太 多 ， 杂音 噪音 不少
送别！“中国预警机之父”王小谟院士逝世,38000.0,855.0,22.5,送别 ！ “ 中国 预警机 之 父 ” 王小谟 院士 逝世
两年了，我们不会忘记！【清澈的爱，只为中国】,97000.0,220.0,2.268041237113402,两年 了 ， 我们 不会 忘记 ！ 【 清澈 的 爱 ， 只 为 中国 】
转需！这样做可以省点电费~,7194.0,12.0,1.6680567139282736,转需 ！ 这样 做 可以 省 点 电费 ~
中国学者加拿大火灾中失踪，亲属：非常优秀 系家中独女,25000.0,14.0,0.5599999999999999,中国 学者 加拿大 火灾 中 失踪 ， 亲属 ： 非常 优秀   系 家中 独女
在美华人纷纷到孟菲斯动物园看望丫丫，希望丫丫在回国前吃饱,344000.0,972.0,2.8255813953488373,在 美华人 纷纷 到 孟菲斯 动物园 看望 丫丫 ， 希望 丫丫 在 回国 前 吃饱
“报告！发现一枚手榴弹”,44000.0,37.0,0.8409090909090909,“ 报告 ！ 发现 一枚 手榴弹 ”
《迪迦奥特曼》导演村石宏实去世，网友哀悼：他变成了光,392000.0,2576.0,6.571428571428572,《 迪迦 奥特曼 》 导演 村石宏实 去世 ， 网友 哀悼 ： 他 变成 了 光
党的二十大报告学习手账,636000.0,45.0,0.070754716981132,党 的 二十大 报告 学习 手账
今日建交！我头都没洗，就冲去洪都拉斯了,1551.0,84.0,54.15860735009672,今日 建交 ！ 我头 都 没洗 ， 就 冲 去 洪都拉斯 了
美国计划对台实施100亿军援 台专家：他们想把台湾变第二个乌克兰,14000.0,19.0,1.3571428571428572,美国 计划 对台 实施 100 亿 军援   台 专家 ： 他们 想 把 台湾 变 第二个 乌克兰
被推荐担任“大法官”引发争议，谢长廷出面喊话：别推荐了,1231.0,1.0,0.8123476848090982,被 推荐 担任 “ 大法官 ” 引发 争议 ， 谢长廷 出面 喊话 ： 别 推荐 了
俄乌将再打2年，乌想铲除普京政权，西方犯大错，苏联是前车之鉴,80000.0,190.0,2.375,俄乌 将 再 打 2 年 ， 乌想 铲除 普京 政权 ， 西方 犯大错 ， 苏联 是 前车之鉴
拜登的口误越来越离谱了,32000.0,26.0,0.8125,拜登 的 口误 越来越 离谱 了
听说浙江人接下来一个月的主食是…,89000.0,90.0,1.0112359550561798,听说 浙江人 接下来 一个月 的 主食 是 …
曾叫嚣摧毁台积电的美前国安顾问：台湾应教全民用AK47，可吓退大陆,21000.0,97.0,4.619047619047619,曾 叫嚣 摧毁 台积 电 的 美前 国安 顾问 ： 台湾 应教 全民 用 AK47 ， 可 吓退 大陆
林子祥 叶蒨文《敢爱敢做》，铁肺CP互飙高音,993000.0,438.0,0.4410876132930514,林子祥   叶蒨 文 《 敢 爱敢 做 》 ， 铁肺 CP 互飙 高音
被吓到但没退缩！女记者在炮击现场被震到打颤 边哽咽边坚持报道,471000.0,454.0,0.9639065817409768,被 吓 到 但 没 退缩 ！ 女 记者 在 炮击 现场 被 震到 打颤   边 哽咽 边 坚持 报道
感动满满！撒贝宁和十年前的自己同框,295000.0,972.0,3.294915254237288,感动 满满 ！ 撒 贝宁 和 十年 前 的 自己 同框
研究发现地球变暖导致的永久冻土融化，或致大量“僵尸病毒”苏醒,64000.0,31.0,0.484375,研究 发现 地球 变暖 导致 的 永久 冻土 融化 ， 或致 大量 “ 僵尸 病毒 ” 苏醒
夺回多个阵地，乌军反攻为何能取得进展，巴赫穆特局势更危险？,8749.0,15.0,1.714481655046291,夺回 多个 阵地 ， 乌军 反攻 为何 能 取得 进展 ， 巴赫 穆特 局势 更 危险 ？
父亲的警号重启，戴在了女儿的胸前,150000.0,265.0,1.7666666666666666,父亲 的 警号 重启 ， 戴 在 了 女儿 的 胸前
大家好 我是99A坦克车长刘姝杉！,436000.0,1568.0,3.596330275229358,大家 好   我 是 99A 坦克车 长 刘姝杉 ！
早教机构突然闭店，家长学费难追讨？,6759.0,24.0,3.550821127385708,早教 机构 突然 闭店 ， 家长 学费 难 追讨 ？
实名羡慕！记者亲手击发榴弹炮,49000.0,130.0,2.653061224489796,实名 羡慕 ！ 记者 亲手 击发 榴弹炮
【挑战】你能忍住不唱，算我输！,76000.0,992.0,13.052631578947368,【 挑战 】 你 能 忍住 不唱 ， 算 我 输 ！
地铁手机外放收“罚单”你见过未啊？,4355.0,17.0,3.903559127439725,地铁 手机 外放 收 “ 罚单 ” 你 见 过 未 啊 ？
这风格太适合山城了！斯巴达勇士赛首次落户重庆,932.0,3.0,3.218884120171674,这 风格 太 适合 山城 了 ！ 斯巴达 勇士 赛 首次 落户 重庆
这就是国风！这就是文化自信！,14000.0,8.0,0.5714285714285715,这 就是 国风 ！ 这 就是 文化 自信 ！
中共中央办公厅印发《关于在全党大兴调查研究的工作方案》,69000.0,14.0,0.2028985507246377,中共中央办公厅 印发 《 关于 在 全党 大兴 调查 研究 的 工作 方案 》
严查酒驾不放松！,6059.0,30.0,4.951312097705892,严查 酒驾 不 放松 ！
13岁女孩遭多人霸凌左耳鼓膜穿孔，眼睛被插入异物造成不可逆损伤，对此，你怎么看？,4153.0,20.0,4.8157958102576455,13 岁 女孩 遭多人 霸凌 左耳 鼓膜 穿孔 ， 眼睛 被 插入 异物 造成 不 可逆 损伤 ， 对此 ， 你 怎么 看 ？
外交部质问美国：你是不是有难言之隐？,121000.0,83.0,0.6859504132231404,外交部 质问 美国 ： 你 是不是 有 难言之隐 ？
宋涛谈统一后安排，台当局拒不接受，回应当天，台军举行巷战演习,8851.0,19.0,2.1466500960343464,宋涛 谈 统一 后 安排 ， 台当局 拒不接受 ， 回应 当天 ， 台军 举行 巷战 演习
10天9夜！蔡英文确定“出访”中美洲 ，将“过境美国”,79000.0,52.0,0.6582278481012658,10 天 9 夜 ！ 蔡 英文 确定 “ 出访 ” 中美洲   ， 将 “ 过境 美国 ”
俄罗斯空降工兵旅硬核排雷,71000.0,145.0,2.0422535211267605,俄罗斯 空降 工兵 旅 硬核 排雷
云南大叔20多年专攻一道菜 一年赚四五十万,228000.0,378.0,1.657894736842105,云南 大叔 20 多年 专攻 一道 菜   一年 赚 四五十万
“TikTok会接入家用WiFi吗？” 周受资被美议员问懵了,482000.0,409.0,0.8485477178423236,“ TikTok 会 接入 家用 WiFi 吗 ？ ”   周受资 被 美 议员 问 懵 了
外媒：饥民人数三年涨一倍，大量粮食却被倾倒在美国的垃圾填埋场,51000.0,22.0,0.4313725490196078,外媒 ： 饥民 人数 三年 涨 一倍 ， 大量 粮食 却 被 倾倒 在 美国 的 垃圾 填埋场
多逼问几句TikTok，只会显得美国政客有点蠢,167000.0,101.0,0.6047904191616766,多 逼问 几句 TikTok ， 只会 显得 美国 政客 有点 蠢
余华王安忆谈ChatGPT：AI写作完美但平庸，人脑最可贵的是会犯错,3401.0,2.0,0.5880623346074684,余华 王安忆 谈 ChatGPT ： AI 写作 完美 但 平庸 ， 人脑 最 可贵 的 是 会 犯错
王毅痛批美国！连巧取都没有了，只剩下豪夺,30000.0,22.0,0.7333333333333334,王毅 痛批 美国 ！ 连 巧取 都 没有 了 ， 只 剩下 豪夺
斯卡蒂为博士点上一首《天黑黑》,8063.0,8.0,0.9921865310678408,斯 卡蒂 为 博士点 上 一首 《 天黑黑 》
俄乌冲突进入第4个月，普京真正目的清晰了，不止占领乌30%领土,260000.0,190.0,0.7307692307692308,俄乌 冲突 进入 第 4 个 月 ， 普京 真正 目的 清晰 了 ， 不止 占领 乌 30% 领土
美国最大水库枯竭 惊现多具藏尸,1178000.0,915.0,0.7767402376910016,美国 最大 水库 枯竭   惊现 多具 藏尸
击毁“海马斯”，俄军打掉的不只是一门炮，更是乌克兰军队的信仰,368000.0,325.0,0.8831521739130435,击毁 “ 海马 斯 ” ， 俄军 打掉 的 不 只是 一门 炮 ， 更是 乌克兰 军队 的 信仰
两会关心啥：我国56%耕地缺钾！钾肥储备该如何完善？！,143000.0,189.0,1.3216783216783217,两会 关心 啥 ： 我国 56% 耕地 缺钾 ！ 钾肥 储备 该 如何 完善 ？ ！
50多岁大叔干重活自带盒饭 一段话让人心酸,559000.0,48.0,0.0858676207513416,50 多岁 大叔 干重 活 自带 盒饭   一段话 让 人 心酸
中华小当家原型陈建一去世！ 是他让日本人爱上麻婆豆腐,40000.0,300.0,7.5,中华 小 当家 原型 陈建 一 去世 ！   是 他 让 日本 人爱上 麻婆豆腐
男子缅甸务工失联 家属心急如焚 竟在诈骗新闻照里发现他！,65000.0,8.0,0.123076923076923,男子 缅甸 务工 失联   家属 心急如焚   竟 在 诈骗 新闻 照里 发现 他 ！
硬核！新娘在婚礼上宣传禁毒,340000.0,81.0,0.238235294117647,硬核 ！ 新娘 在 婚礼 上 宣传 禁毒
辽宁省原副省长郝春荣一审被控受贿1883万余元 其当庭认罪、悔罪,60000.0,18.0,0.3,辽宁省 原 副省长 郝春荣 一审 被控 受贿 1883 万余元   其 当庭 认罪 、 悔罪
我国新直升机快来了！,349000.0,194.0,0.5558739255014327,我国 新 直升机 快来 了 ！
解放军舰队完整绕圈日本岛，蔡正元：收集军事资料顺便震慑右翼,133000.0,92.0,0.6917293233082706,解放军 舰队 完整 绕圈 日本 岛 ， 蔡正元 ： 收集 军事 资料 顺便 震慑 右翼
英国通胀持续失控，移英港人生活苦不堪言，正准备重回香港故土,180000.0,523.0,2.905555555555556,英国 通胀 持续 失控 ， 移英 港人 生活 苦不堪言 ， 正 准备 重回 香港 故土
【完整监控】网约车司机曝光：女乘客情绪激动辱骂司机，“乘客定位出错怪我吗?”,392000.0,6063.0,15.466836734693878,【 完整 监控 】 网约车 司机 曝光 ： 女 乘客 情绪 激动 辱骂 司机 ， “ 乘客 定位 出 错怪 我 吗 ? ”
