标题,播放,评论,回馈率（‰）
今日建交！我头都没洗，就冲去洪都拉斯了,1551.0,84.0,54.158607350096716
美国计划对台实施100亿军援 台专家：他们想把台湾变第二个乌克兰,14000.0,19.0,1.3571428571428572
被推荐担任“大法官”引发争议，谢长廷出面喊话：别推荐了,1231.0,1.0,0.8123476848090982
俄乌将再打2年，乌想铲除普京政权，西方犯大错，苏联是前车之鉴,80000.0,190.0,2.375
拜登的口误越来越离谱了,32000.0,26.0,0.8125
听说浙江人接下来一个月的主食是…,89000.0,90.0,1.0112359550561798
曾叫嚣摧毁台积电的美前国安顾问：台湾应教全民用AK47，可吓退大陆,21000.0,97.0,4.619047619047619
林子祥 叶蒨文《敢爱敢做》，铁肺CP互飙高音,993000.0,438.0,0.4410876132930514
被吓到但没退缩！女记者在炮击现场被震到打颤 边哽咽边坚持报道,471000.0,454.0,0.9639065817409767
感动满满！撒贝宁和十年前的自己同框,295000.0,972.0,3.294915254237288
研究发现地球变暖导致的永久冻土融化，或致大量“僵尸病毒”苏醒,64000.0,31.0,0.484375
夺回多个阵地，乌军反攻为何能取得进展，巴赫穆特局势更危险？,8749.0,15.0,1.714481655046291
父亲的警号重启，戴在了女儿的胸前,150000.0,265.0,1.7666666666666666
大家好 我是99A坦克车长刘姝杉！,436000.0,1568.0,3.596330275229358
早教机构突然闭店，家长学费难追讨？,6759.0,24.0,3.5508211273857078
实名羡慕！记者亲手击发榴弹炮,49000.0,130.0,2.653061224489796
【挑战】你能忍住不唱，算我输！,76000.0,992.0,13.052631578947368
地铁手机外放收“罚单”你见过未啊？,4355.0,17.0,3.9035591274397246
这风格太适合山城了！斯巴达勇士赛首次落户重庆,932.0,3.0,3.218884120171674
这就是国风！这就是文化自信！,14000.0,8.0,0.5714285714285715
中共中央办公厅印发《关于在全党大兴调查研究的工作方案》,69000.0,14.0,0.2028985507246377
严查酒驾不放松！,6059.0,30.0,4.951312097705892
13岁女孩遭多人霸凌左耳鼓膜穿孔，眼睛被插入异物造成不可逆损伤，对此，你怎么看？,4153.0,20.0,4.8157958102576455
外交部质问美国：你是不是有难言之隐？,121000.0,83.0,0.6859504132231404
宋涛谈统一后安排，台当局拒不接受，回应当天，台军举行巷战演习,8851.0,19.0,2.1466500960343464
10天9夜！蔡英文确定“出访”中美洲 ，将“过境美国”,79000.0,52.0,0.6582278481012658
俄罗斯空降工兵旅硬核排雷,71000.0,145.0,2.0422535211267605
云南大叔20多年专攻一道菜 一年赚四五十万,228000.0,378.0,1.657894736842105
“TikTok会接入家用WiFi吗？” 周受资被美议员问懵了,482000.0,409.0,0.8485477178423236
外媒：饥民人数三年涨一倍，大量粮食却被倾倒在美国的垃圾填埋场,51000.0,22.0,0.43137254901960786
多逼问几句TikTok，只会显得美国政客有点蠢,167000.0,101.0,0.6047904191616766
余华王安忆谈ChatGPT：AI写作完美但平庸，人脑最可贵的是会犯错,3401.0,2.0,0.5880623346074684
王毅痛批美国！连巧取都没有了，只剩下豪夺,30000.0,22.0,0.7333333333333334
斯卡蒂为博士点上一首《天黑黑》,8063.0,8.0,0.9921865310678407
俄乌冲突进入第4个月，普京真正目的清晰了，不止占领乌30%领土,260000.0,190.0,0.7307692307692308
美国最大水库枯竭 惊现多具藏尸,1178000.0,915.0,0.7767402376910016
击毁“海马斯”，俄军打掉的不只是一门炮，更是乌克兰军队的信仰,368000.0,325.0,0.8831521739130435
两会关心啥：我国56%耕地缺钾！钾肥储备该如何完善？！,143000.0,189.0,1.3216783216783217
50多岁大叔干重活自带盒饭 一段话让人心酸,559000.0,48.0,0.08586762075134169
中华小当家原型陈建一去世！ 是他让日本人爱上麻婆豆腐,40000.0,300.0,7.5
男子缅甸务工失联 家属心急如焚 竟在诈骗新闻照里发现他！,65000.0,8.0,0.12307692307692307
硬核！新娘在婚礼上宣传禁毒,340000.0,81.0,0.23823529411764707
辽宁省原副省长郝春荣一审被控受贿1883万余元 其当庭认罪、悔罪,60000.0,18.0,0.3
我国新直升机快来了！,349000.0,194.0,0.5558739255014327
解放军舰队完整绕圈日本岛，蔡正元：收集军事资料顺便震慑右翼,133000.0,92.0,0.6917293233082706
英国通胀持续失控，移英港人生活苦不堪言，正准备重回香港故土,180000.0,523.0,2.905555555555556
【完整监控】网约车司机曝光：女乘客情绪激动辱骂司机，“乘客定位出错怪我吗?”,392000.0,6063.0,15.466836734693878
7分钟视频，回顾神舟十五号载人飞船奔赴“天宫”之路,13000.0,16.0,1.2307692307692308
15:0！安理会通过涉朝制裁决议，中方赞成，并对安理会小组提要求,464000.0,144.0,0.3103448275862069
中国女空军警告美国军机：再靠近就拦截！,112000.0,53.0,0.47321428571428575
《声生不息·宝岛季》华晨宇《一定要幸福》遨游音乐宇宙，温柔与幸福娓娓道来,14000.0,110.0,7.857142857142858
女子高铁霸座不听劝 乘警警告三次后遭辱骂 采取强制措施,17000.0,39.0,2.294117647058824
高校通报男生夜闯女寝：开除学籍,11000.0,5.0,0.45454545454545453
保安大叔双语播报火了！,108000.0,100.0,0.9259259259259259
笑不活！外媒疯传中国下虫雨，辟谣后被外国网友各种感谢！,399000.0,1764.0,4.421052631578947
台湾“邦交”只剩13个！吴钊燮还赖着不下台,20000.0,7.0,0.35
海南施暴学生家人回应13岁女生被霸凌：自家小孩调皮，该赔就赔,51000.0,81.0,1.588235294117647
日本前首相鸠山由纪夫：外交即克服价值观差异,7079.0,11.0,1.5538917926260771
云游南宁，航拍视角下的震撼体验,17000.0,39.0,2.294117647058824
对着日本旗，尹锡悦弯下了脊梁骨，韩国所谓的气节，原来是个笑话,51000.0,456.0,8.941176470588236
“轻轻”敲醒沉睡的蘑菇,35000.0,9.0,0.2571428571428572
洪水过后的春耕——河南,258000.0,2200.0,8.527131782945736
再打3个月，俄军战术仍没胜算？美中央情报局评估，让乌松了口气,8067.0,17.0,2.107350935911739
警方销毁49000瓶毒饮料：含管制药品，会使人麻醉及短暂失忆,11000.0,4.0,0.3636363636363636
【卢克文工作室】轮胎革命：创新科技将成为门槛石,366000.0,1249.0,3.412568306010929
“大饼画的太诱人！”司机求职莫名背高额车贷，维权遭踢皮球,8750.0,16.0,1.8285714285714285
星云大师挺洪秀柱：领导大家做中国人,34000.0,21.0,0.6176470588235294
夫妻相约自杀，丈夫捅伤自己跳河，妻子未呼救离开被判故意杀人罪,61000.0,50.0,0.819672131147541
周深演唱《同心圆》，唱出湾区好风光！,20000.0,187.0,9.350000000000001
听说有人偷了我们的古筝名曲？,362000.0,858.0,2.3701657458563536
外国人来华签证及入境政策调整了,85000.0,120.0,1.411764705882353
联合国“欠费榜”榜一“大哥” → 美国,1155000.0,2782.0,2.4086580086580085
运-20机长说正在训练“跑道被炸情况下起降”,182000.0,374.0,2.0549450549450547
厂家回应《流浪地球2》众筹周边翻车：成品全部作废 厂家承担损失,368000.0,153.0,0.4157608695652174
国民党前副秘书长：若去年的围台军演变成“北平模式”会怎样,55000.0,33.0,0.6
女子剪掉丈夫下体 罚款200元 行政拘留10日引争议 警方：等伤情鉴定结果判断是否立刑,196000.0,367.0,1.8724489795918369
美国给乌克兰画的饼终于兑现：新坦克没有了，旧的凑合着用吧,38000.0,187.0,4.921052631578948
特朗普说中国没有毒品问题，还提到鸦片战争,2231000.0,3620.0,1.622590766472434
官方通报交通局退休干部孙女炫富言论：已开展核查,235000.0,26.0,0.11063829787234042
星云大师圆寂   他曾说：台湾没有台湾人，台湾哪个不是中国人,42000.0,30.0,0.7142857142857143
歼35发动机曝光，中国发动机离美国差距还有多少？,598000.0,1808.0,3.023411371237458
女子强坐警用摩托车拍照 交警三次警告无效采取强制措施,1777000.0,7200.0,4.051772650534609
椰树猛男VS维达阳光，网友：维达小哥哥阳光帅气,56000.0,74.0,1.3214285714285714
雷锋珍贵原声：我就是一个共青团员…,1922.0,4.0,2.081165452653486
有心了！老人2万多元纸币烧成焦炭，银行还原1.99万,1342000.0,88.0,0.06557377049180328
81192，请立即返航！,677000.0,2841.0,4.196454948301329
总台纪录片带你走进山海经,525.0,1.0,1.9047619047619047
最高礼仪致敬革命先烈 回顾空军接迎志愿军烈士遗骸回国之路,19000.0,60.0,3.1578947368421053
巴西正与饥饿斗争！近六成民众面临粮食危机！,386000.0,2200.0,5.699481865284974
学生给教科书改名，每一课名字都让人意想不到。网友：这几科让他研究得明明白白,431000.0,374.0,0.8677494199535963
热血沸腾！120秒看2022年国庆天安门广场升旗仪式,108000.0,293.0,2.7129629629629632
大爷杀疯了，谭SIR好害怕,423000.0,1252.0,2.959810874704492
从剑形刺刀到三棱刺刀 改进后的军刺性能更优越,6066.0,5.0,0.8242664029014177
普京“硬汉柔情”！俄军人演讲忘词后，普京微笑鼓励：没事，这里都是自己人,217000.0,19.0,0.08755760368663595
美国典当店老板将二战相册捐给中国，中国回赠其精美瓷器,335000.0,252.0,0.7522388059701492
台湾自古属于中国，“自古”有多“古”？,74000.0,8.0,0.1081081081081081
【卢克文工作室】沙特伊朗和解，中国中东战略的一步妙棋！,1383000.0,7392.0,5.344902386117137
陈红军，今天是你的生日！我们没有忘记！,82000.0,571.0,6.963414634146342
美国拉拢芯片同盟，小国荷兰为什么能卡住中国芯片脖子？,110000.0,328.0,2.981818181818182
俄乌战场的最新动向，预示着人类一个可怕的未来,100000.0,232.0,2.32
马克思，且听龙吟！“中国式现代化，中！”,39000.0,4.0,0.10256410256410256
女子地铁上暴打小伙子，叫嚣男人必须站着！这是啥歪理？,162000.0,250.0,1.5432098765432098
台湾军队缺肉，老百姓缺蛋缺水缺电，郭正亮批：闻所未闻离谱至极,182000.0,167.0,0.9175824175824175
广东卫视给高启强点歌了,46000.0,114.0,2.4782608695652173
3D“重回”MU5735坠机地：东航飞行事故救援纪实,21000.0,8.0,0.380952380952381
身着尼姑装的女子高铁霸座拒不让位，辱骂乘警还躺地打滚乱踢，乘警警告无果后将其强制带离,63000.0,148.0,2.3492063492063493
"“虎兔交接”仪式草草收尾,兔子：好险,差点成年夜饭！",908000.0,200.0,0.22026431718061676
美国无人机黑海坠毁事件的最新消息,20000.0,38.0,1.9
韩国要的台阶，我们没给，秦刚外长的发布会，一个韩国记者都没请,887000.0,995.0,1.121758737316798
海关截获年内首例活鼠病媒生物：1只姬鼠,29000.0,27.0,0.9310344827586207
郭帆谈“五十岁以上出列”拍摄：喊停了外国群演还在哭！,309000.0,773.0,2.501618122977346
如果古代圣贤看到现代科技,83000.0,270.0,3.253012048192771
高颜值情侣满22岁当天领证，19岁一见钟情异地恋：求婚过程超甜,77000.0,50.0,0.6493506493506493
胡鑫宇遗体在后山储粮仓库找到，衣服疑似前后反穿，用鞋带“上吊”,2012000.0,2175.0,1.081013916500994
惊艳！千年非遗“南音”遇上流行音乐,311000.0,1604.0,5.157556270096463
普京：俄罗斯将在白俄罗斯部署战术核武器,141000.0,97.0,0.6879432624113475
中国航天全记录,93000.0,17.0,0.1827956989247312
西摩-赫什最新报告，把朔尔茨钉上耻辱柱，德国是美国人的德国？,15000.0,33.0,2.2
乌克兰举办“俄军坦克质量问题发布会”，看看乌克兰人都说了些什么,44000.0,203.0,4.613636363636364
人大校长林尚立：不靠文凭打天下，也是一种选择,80000.0,95.0,1.1875
这个日本人坚持十余年收集日军侵华证据交给中国,1544000.0,5085.0,3.29339378238342
乌克兰政客对华放狠话，声称摧毁俄罗斯后，下一步就是对中国宣战,288000.0,1286.0,4.465277777777778
"台湾蛋鸡数量创历史新高 却仍""蛋荒""  民进党甩锅老母鸡",17000.0,34.0,2.0
穿上70斤重的排爆服“穿针引线”，累瘫！,5915.0,21.0,3.5502958579881656
当爹要趁早！研究发现：年纪越大遗传给孩子突变基因越多,142000.0,444.0,3.126760563380282
特朗普以62%的支持率成共和党民调第一“不会让美国卷入“愚蠢”的战争”,1267000.0,1351.0,1.0662983425414365
跟随记者庄晓莹近距离观看“飞豹”雪后起飞瞬间,18000.0,45.0,2.5
【卢克文工作室】朝鲜的故事（一）：朝鲜如何一步步走向“主体思想”？,1478000.0,1204.0,0.8146143437077131
高质量发展在江苏！,28000.0,48.0,1.7142857142857142
"【中国天团】""笨笨""现身!国产机器狗背着7.62机枪，看它实弹射击！",269000.0,381.0,1.41635687732342
英伟达CEO黄仁勋：90岁时我会以机器人形式继续工作,115000.0,86.0,0.7478260869565218
暗访“日租女友” 女孩称过年忙不过来,61000.0,19.0,0.31147540983606553
韩国赴乌参战网红回国，称韧带撕裂回来治疗：拒绝获得乌克兰身份,229000.0,280.0,1.222707423580786
远程穿云箭齐射，原声体验震撼现场,50000.0,141.0,2.82
太上头了！唢呐味的征兵宣传片,540000.0,813.0,1.5055555555555555
枪战、卧底、濒死…真实记录边境禁毒故事,1320000.0,12000.0,9.09090909090909
拼尽全力后的感动！2022年高考生查分瞬间！,19000.0,8.0,0.4210526315789474
中国海军，又又又又一艘！,231000.0,669.0,2.896103896103896
北京市二中院重金悬赏 最高可得1.1个亿,346000.0,76.0,0.21965317919075145
佩洛西亚洲行行程公布 未提及台湾地区,22000.0,10.0,0.45454545454545453
刘德华：我可以认认真真地和大家说，我是中国人,1864000.0,3954.0,2.121244635193133
台湾官兵饿得在沙滩写“伙房没肉”,284000.0,296.0,1.0422535211267605
在航母山东舰上，每天能吃7顿的饭菜能有多香？😋,1616000.0,1540.0,0.9529702970297029
孩子吐血爸爸开车紧张到四肢抽搐,81000.0,41.0,0.5061728395061729
高志凯：佩洛西窜访台湾将加快祖国和平统一,16000.0,5.0,0.3125
解放军是否会动武？驻美大使秦刚：中国人民不可侮，统一不可挡,69000.0,4.0,0.05797101449275362
腾讯内部员工大会马化腾高度评价视频号：这基本是全公司的希望,68000.0,35.0,0.5147058823529412
50岁老妈感慨容颜衰老，女儿镜头对准却惊艳：长发浓密皮肤紧致,54000.0,33.0,0.611111111111111
CGTN独家专题片《佩洛西窜台 法理不容》，带您梳理台湾问题的历史经纬,4058.0,1.0,0.24642681123706262
美女偶遇帆布袋“狮子猫”：以为是装饰，结果是真的！,554000.0,59.0,0.10649819494584838
冉光辉：个个都考清华北大 是不可能的,119000.0,16.0,0.13445378151260504
伊朗总统访华代表团成员透露：“北京和解”酝酿于莱希总统访华之时,128000.0,92.0,0.71875
野战食品大揭秘！这是唯一一家带番号的军用食品厂,53000.0,56.0,1.0566037735849056
淄博烧烤，怎么就火“出圈”了？！,221000.0,425.0,1.9230769230769231
一夜成名时，感觉被舆论操控了 | 专访九连真人乐队,3819.0,3.0,0.7855459544383347
精准连射、枪声清脆！191型精准步枪高原冒雨开打,747000.0,664.0,0.888888888888889
女子为夫报仇谋划多年，引诱黑帮老大爱上自己后将其绳之以法！,82000.0,20.0,0.24390243902439024
甘宇获救后父亲含泪说：儿子你比我有出息！,304000.0,184.0,0.6052631578947368
一个大预警：台当局举办无人机展览会，台版“弹簧刀”首次亮相,6012.0,6.0,0.998003992015968
王伟牺牲21周年！81192，我们永远等你返航,105000.0,390.0,3.7142857142857144
“快递”来啦，请您查收！,52000.0,225.0,4.3269230769230775
【269票赞成 37票反对  瑞典议会批准瑞典加入北约】,50000.0,43.0,0.86
全程回顾！一起见证梦天实验舱发射成功,147000.0,360.0,2.4489795918367347
24岁女大学生回村当村支书火爆出圈,871000.0,304.0,0.34902411021814006
超震撼！全方位展示空军无人机实战对抗,58000.0,161.0,2.7758620689655173
鹰警官上线！重庆一猫头鹰被派出所救助后开展反诈宣传,237000.0,115.0,0.48523206751054854
他的名字和中国航天事业紧密相连,405000.0,668.0,1.6493827160493828
这就是我，中华人民共和国！,503000.0,38.0,0.07554671968190854
打爆乌军各型战机，俄R37M出尽风头，但有1个问题，影响苏57发挥,8259.0,22.0,2.663760745853009
洪秀柱示好赴陆呼吁统一后，大陆解禁63家台企，民进党坐不住了,5562.0,5.0,0.8989572096368212
【中英双语字幕】英国新王查尔斯三世 登基演讲：谢谢你，我亲爱的妈妈,1725000.0,4375.0,2.5362318840579707
致敬！现实版“50岁以上的出列”,178000.0,76.0,0.42696629213483145
大风掀翻大锅菜，工人们不舍得浪费就着馍吃，感叹为了生活没有办法,342000.0,778.0,2.2748538011695905
乌克兰女难民成“猎物”，英国男人的丑行，惊动了联合国,179000.0,389.0,2.1731843575418996
飞身一挡！这位白衣少年太帅了！,568000.0,74.0,0.13028169014084506
18万养老钱存银行，银行：帮你买成保险啦,1356000.0,5086.0,3.750737463126844
揭秘我国发射大火箭的大卡车,62000.0,157.0,2.532258064516129
女子看师傅修暖气被喷一脸泥：黑点和身上豹纹衣服还挺搭,148000.0,69.0,0.4662162162162162
尼泊尔失事客机乘客舱内拍下空难全过程：一声巨响后满屏火光,902000.0,400.0,0.4434589800443459
华为手机自燃？客服曾称可赔偿希望删掉视频，当事人：“不想再用华为，赔偿我5000元”,84000.0,123.0,1.4642857142857142
你们要的下集来了哟~56式冲锋枪详细解析（下）,85000.0,277.0,3.2588235294117647
一身伤病，四战冬奥！徐梦桃赛场夺金背后,16000.0,4.0,0.25
央视曝光“网络水军”乱象,465000.0,3826.0,8.227956989247312
小男孩和老虎隔玻璃“打拳” 网友：把老虎弄疯只需一个人类幼崽！,547000.0,234.0,0.42778793418647165
卢拉赴华访问前夕，中方送上一份大礼，宣布同意恢复巴西牛肉输华,28000.0,26.0,0.9285714285714286
外媒：解放军五大战区空军轮训台海 第6代超级战机已秘密研发,169000.0,407.0,2.408284023668639
"""我说外国人能搞的，难道中国人不能搞？""",1091000.0,1930.0,1.769019248395967
特朗普还没被逮捕 支持和反对者已经“开火”了,65000.0,102.0,1.5692307692307692
【卢克文工作室】俄罗斯高层内部斗争详细分析（下）,956000.0,1052.0,1.1004184100418408
东部战区，数架歼-20出击！,388000.0,413.0,1.0644329896907216
入殓师用猪皮苦练缝合 只想给人最后的体面,223000.0,78.0,0.34977578475336324
央视都报了：周杰伦演唱会搬线上近1亿人次观看,491000.0,480.0,0.9775967413441955
近80年军售记录，看美国如何向世界“推销”战争 | 影子战争,486000.0,1479.0,3.0432098765432096
